[2025-04-17 13:38:29,550: INFO: main: logging done!]
[2025-04-17 17:48:06,537: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:48:06,549: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:49:34,221: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:49:34,223: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:50:32,265: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:50:32,268: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:50:32,269: INFO: common: created dir at artifacts]
[2025-04-17 17:50:32,272: INFO: common: created dir at artifacts/data_ingestion]
[2025-04-17 17:51:46,932: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:51:46,934: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:51:46,936: INFO: common: created dir at artifacts]
[2025-04-17 17:51:46,937: INFO: common: created dir at artifacts/data_ingestion]
[2025-04-17 17:51:53,426: INFO: 190528442: FIle downloaded sucessfully!]
[2025-04-17 17:56:42,461: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:56:42,466: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:56:42,471: INFO: common: created dir at artifacts]
[2025-04-17 17:56:42,475: INFO: common: created dir at artifacts/data_ingestion]
[2025-04-17 17:56:42,478: INFO: 190528442: file already exsit!]
[2025-04-17 17:56:58,450: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:56:58,454: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:56:58,455: INFO: common: created dir at artifacts]
[2025-04-17 17:56:58,457: INFO: common: created dir at artifacts/data_ingestion]
[2025-04-17 17:56:58,458: INFO: 190528442: file already exsit!]
[2025-04-17 17:57:14,498: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 17:57:14,501: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 17:57:14,503: INFO: common: created dir at artifacts]
[2025-04-17 17:57:14,505: INFO: common: created dir at artifacts/data_ingestion]
[2025-04-17 17:57:30,072: INFO: 190528442: FIle downloaded sucessfully!]
[2025-04-17 19:58:36,135: INFO: main: Data Ingestion started!]
[2025-04-17 19:58:36,152: INFO: common: yaml file config\config.yaml loaded succesfully!]
[2025-04-17 19:58:36,169: INFO: common: yaml file params.yaml loaded succesfully!]
[2025-04-17 19:58:36,170: INFO: common: created dir at artifacts]
[2025-04-17 19:58:36,171: INFO: common: created dir at artifacts/data_ingestion]
[2025-04-17 19:58:39,917: INFO: data_ingestion: FIle downloaded sucessfully!]
[2025-04-17 19:58:40,039: INFO: main: data ingestion done!]
